epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.568,1.01748,1.18071,0.98757,0.57876,0.43279,0.43916,0.29283,0.78749,0.71957,0.89595,0.00333,0.00333,0.00333
2,396.339,0.90331,0.75362,0.92028,0.64646,0.45125,0.4778,0.32394,0.71561,0.6514,0.88234,0.0065314,0.0065314,0.0065314
3,591.397,0.88657,0.69467,0.91014,0.67182,0.4657,0.49312,0.34302,0.66576,0.60407,0.86128,0.0096008,0.0096008,0.0096008
4,788.074,0.81333,0.61689,0.89501,0.72215,0.50899,0.54056,0.38158,0.6028,0.51435,0.8438,0.009406,0.009406,0.009406
5,983.33,0.73956,0.55592,0.87815,0.6895,0.51073,0.53247,0.37838,0.59651,0.48662,0.84111,0.009208,0.009208,0.009208
6,1175.98,0.69433,0.52218,0.86771,0.75573,0.53099,0.58207,0.42268,0.53026,0.45135,0.82638,0.00901,0.00901,0.00901
7,1369.34,0.66078,0.49747,0.85923,0.75126,0.52731,0.57601,0.41756,0.51378,0.44753,0.82281,0.008812,0.008812,0.008812
8,1563.16,0.63835,0.48075,0.85492,0.79219,0.54912,0.609,0.45168,0.50117,0.42645,0.81822,0.008614,0.008614,0.008614
9,1758.24,0.61927,0.46846,0.85063,0.79296,0.55618,0.61793,0.45477,0.48901,0.41478,0.81626,0.008416,0.008416,0.008416
10,1950.3,0.60106,0.45486,0.84739,0.80019,0.55712,0.61978,0.46423,0.476,0.39811,0.81103,0.008218,0.008218,0.008218
11,2145.35,0.58573,0.44476,0.84427,0.79834,0.5603,0.62678,0.47005,0.46957,0.39969,0.80857,0.00802,0.00802,0.00802
12,2338.18,0.5743,0.43633,0.84242,0.80925,0.56836,0.63035,0.47485,0.46096,0.38825,0.80649,0.007822,0.007822,0.007822
13,2530.34,0.56422,0.42923,0.84001,0.8205,0.57323,0.64132,0.48707,0.44833,0.37848,0.80381,0.007624,0.007624,0.007624
14,2722.3,0.54906,0.42035,0.83797,0.8222,0.57085,0.64134,0.48863,0.44121,0.37064,0.80219,0.007426,0.007426,0.007426
15,2915.37,0.54121,0.41503,0.83586,0.81924,0.57109,0.64227,0.4898,0.43596,0.37064,0.80119,0.007228,0.007228,0.007228
16,3107.1,0.53751,0.41199,0.83547,0.82984,0.57679,0.65476,0.50304,0.42905,0.36081,0.79923,0.00703,0.00703,0.00703
17,3299.68,0.52808,0.40636,0.83411,0.83612,0.58188,0.65682,0.50704,0.42245,0.35511,0.7976,0.006832,0.006832,0.006832
18,3492.49,0.52069,0.40249,0.83195,0.83579,0.5798,0.65671,0.51158,0.41621,0.35145,0.79605,0.006634,0.006634,0.006634
19,3684.63,0.51224,0.3961,0.82987,0.83156,0.58232,0.66017,0.51605,0.40834,0.34405,0.79503,0.006436,0.006436,0.006436
20,3876.48,0.50609,0.39298,0.82986,0.83859,0.58278,0.66004,0.51606,0.4059,0.34474,0.79446,0.006238,0.006238,0.006238
21,4068.27,0.49803,0.38931,0.82777,0.84208,0.58919,0.66721,0.5242,0.39951,0.33839,0.79324,0.00604,0.00604,0.00604
22,4260.66,0.49076,0.38401,0.82651,0.84863,0.58358,0.66765,0.52432,0.39446,0.3356,0.79223,0.005842,0.005842,0.005842
23,4453.16,0.4821,0.37988,0.82627,0.84258,0.58937,0.67148,0.53129,0.38698,0.32965,0.79098,0.005644,0.005644,0.005644
24,4645.04,0.47784,0.37707,0.8244,0.84793,0.58624,0.66981,0.53315,0.38092,0.32709,0.79049,0.005446,0.005446,0.005446
25,4836.82,0.47223,0.37375,0.82433,0.85418,0.58989,0.67475,0.53683,0.37734,0.32365,0.78924,0.005248,0.005248,0.005248
26,5030.38,0.46617,0.36916,0.82262,0.84766,0.58956,0.67296,0.53834,0.37442,0.32213,0.78861,0.00505,0.00505,0.00505
27,5222.95,0.46457,0.36788,0.82218,0.85149,0.59184,0.67787,0.54203,0.37007,0.31847,0.78781,0.004852,0.004852,0.004852
28,5414.82,0.45866,0.36522,0.82124,0.85421,0.59136,0.67697,0.54351,0.36868,0.31907,0.78697,0.004654,0.004654,0.004654
29,5606.61,0.45431,0.36232,0.82044,0.85078,0.59099,0.67794,0.54638,0.36406,0.31531,0.7865,0.004456,0.004456,0.004456
30,5799.37,0.45026,0.35917,0.81945,0.85829,0.59559,0.6841,0.55017,0.3638,0.31197,0.78593,0.004258,0.004258,0.004258
31,5991.08,0.44641,0.35725,0.81893,0.85269,0.59591,0.68244,0.55069,0.36118,0.31267,0.78512,0.00406,0.00406,0.00406
32,6182.98,0.44116,0.3539,0.81847,0.85793,0.59529,0.6848,0.5525,0.35916,0.3101,0.78471,0.003862,0.003862,0.003862
33,6375.69,0.43697,0.3521,0.8175,0.86343,0.59524,0.68696,0.55651,0.35591,0.30815,0.7839,0.003664,0.003664,0.003664
34,6568.61,0.43406,0.34927,0.81738,0.85915,0.59902,0.68703,0.55702,0.35461,0.30685,0.78344,0.003466,0.003466,0.003466
