epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.959,0.82289,1.31411,0.93013,0.68875,0.50062,0.54571,0.39141,0.61207,0.95901,0.84129,0.000476079,0.000476079,0.000476079
2,692.839,0.66774,0.99555,0.87151,0.75519,0.53517,0.58504,0.43247,0.53564,0.867,0.82327,0.000907172,0.000907172,0.000907172
3,1034.12,0.62437,0.93385,0.85861,0.77673,0.54877,0.60778,0.45499,0.49309,0.79492,0.81207,0.00129301,0.00129301,0.00129301
4,1374.69,0.59245,0.89002,0.8506,0.77176,0.55776,0.61147,0.45904,0.46949,0.77017,0.8066,0.00122537,0.00122537,0.00122537
5,1716.11,0.56298,0.84839,0.84329,0.7895,0.5673,0.62586,0.47365,0.45481,0.74007,0.8005,0.00115749,0.00115749,0.00115749
6,2056.76,0.53706,0.81889,0.83815,0.82373,0.56573,0.64194,0.49399,0.42606,0.71687,0.79705,0.00108961,0.00108961,0.00108961
7,2397.31,0.52181,0.79967,0.83573,0.82709,0.58027,0.65484,0.50709,0.41718,0.69043,0.79313,0.00102173,0.00102173,0.00102173
8,2737.36,0.5004,0.77199,0.8305,0.84273,0.58513,0.66586,0.52394,0.39175,0.65149,0.7889,0.000953857,0.000953857,0.000953857
9,3077.44,0.48563,0.75102,0.82833,0.83556,0.58297,0.66749,0.52563,0.38674,0.65805,0.78905,0.00088598,0.00088598,0.00088598
10,3418,0.47385,0.73815,0.82632,0.84881,0.59174,0.67299,0.53719,0.37606,0.63957,0.78534,0.000818102,0.000818102,0.000818102
11,3741.08,0.45607,0.72969,0.81916,0.8355,0.58689,0.66035,0.52552,0.37792,0.65127,0.7873,0.000750225,0.000750225,0.000750225
12,4063.66,0.43861,0.70725,0.81529,0.85287,0.5886,0.66625,0.53224,0.37902,0.64598,0.78637,0.000682347,0.000682347,0.000682347
13,4386.25,0.42574,0.68787,0.81204,0.86612,0.58942,0.67053,0.53739,0.37285,0.63886,0.78563,0.00061447,0.00061447,0.00061447
14,4708.31,0.41155,0.66871,0.80905,0.86295,0.59521,0.66615,0.53845,0.36606,0.62296,0.78567,0.000546592,0.000546592,0.000546592
15,5030.07,0.39937,0.64911,0.80661,0.86578,0.59374,0.67659,0.54834,0.36728,0.62717,0.78716,0.000478715,0.000478715,0.000478715
16,5351.89,0.39073,0.63481,0.80427,0.87348,0.59912,0.68155,0.55877,0.35395,0.59867,0.78264,0.000410837,0.000410837,0.000410837
17,5674.47,0.38154,0.62316,0.80232,0.87851,0.60047,0.68058,0.55808,0.35726,0.60455,0.78312,0.00034296,0.00034296,0.00034296
18,5998.09,0.37155,0.60714,0.80112,0.87379,0.6057,0.68006,0.56083,0.35046,0.59401,0.78253,0.000275083,0.000275083,0.000275083
19,6320.48,0.36092,0.59108,0.79919,0.88444,0.60457,0.68199,0.56162,0.35994,0.60115,0.78265,0.000207205,0.000207205,0.000207205
20,6642.5,0.35264,0.57681,0.79762,0.87989,0.60946,0.68401,0.56626,0.3525,0.58978,0.78077,0.000139328,0.000139328,0.000139328
